Robot planning survey,"But first, we need some basic anonymous information for statistical purposes",1. Your gender,2. Your age,3. Have youÂ taken classes in robotics or have professional experience working in robotics?,"For all scenes and plans, the robot in question is a robot with a wheeled base, with an arm on top. It is slightly shorter than the averageÂ human.

You must try to predict whether the plans will succeed or fail.Â Note: we are only interested in theÂ planÂ itself. Is it a good plan? A bad plan?Â 
We are not considering the success or failure of the underlying code that would eventually run on the real robot.

Please doÂ not go back to modify your answer to previous slides using information from later slides!",Will the plan succeed?,AB Test,Do you think the plan will succeed?,Use the image and the video to answer: will the plan succeed?,AB Test,Do you think the plan will succeed?,Use the image and the video to answer: will the plan succeed?,AB Test,Do you think the plan will succeed?,Use the image and the video to answer: will the plan succeed?,AB Test,Do you think the plan will succeed?,Use the image and the video to answer: will the plan succeed?,AB Test,Do you think the plan will succeed?,"4. If you have comments, please let us know!",Date,Time Taken,Country Code,Region Code,First Name,Last Name,Email,Custom Field,Participant tracking code,Completed,External ID
,,,,,,,AB Test,,,AB Test,,,AB Test,,,AB Test,,,AB Test,,,,,,,,,,,,,
,,,,,,,A:,I don't know,,,,,,,,,,,,,,2025-09-01 18:04,0,CA,,,,,,,FALSE,
,,,,,,,,,,,,,,,,,,,,,,2025-09-01 18:05,0,CA,,,,,,,FALSE,
,,,,,,,A:,,,,,,,,,,,,,,,2025-09-01 18:05,0,CA,,,,,,,FALSE,
,,,,,,,B:,Success,,A:,I don't know,,B:,Success,,B:,Failure,,A:,I don't know,,2025-09-01 18:07,0,CA,,,,,,,TRUE,
,,,,,,,A:,Success,,A:,Failure,,A:,Success,,B:,Failure,,B:,Success,,2025-09-01 18:15,0,CA,,,,,,,TRUE,
,,,,,,,A:,,,,,,,,,,,,,,,2025-09-01 18:19,0,CA,,,,,,,FALSE,
,,,,,,,,,,,,,,,,,,,,,,2025-09-01 18:43,0,CA,,,,,,,FALSE,
,,,,,,,B:,Failure,,B:,Failure,,A:,Success,,A:,I don't know,,B:,Failure,,2025-09-01 18:45,0,CA,,,,,,,TRUE,
,,,,,,,B:,Failure,,B:,Failure,,A:,Success,,B:,Failure,,B:,Failure,,2025-09-01 19:15,0,CA,,,,,,,TRUE,
,,Man,24,No,,,A:,Success,,B:,Failure,,B:,Success,,B:,Failure,,B:,Failure,,2025-09-01 20:09,0,CA,,,,,,,TRUE,
,,Man,26,No,,,,,,,,,,,,,,,,,,2025-09-01 20:17,0,GB,,,,,,,FALSE,
,,Man,28,No,,,B:,Failure,,A:,Failure,,B:,Success,,A:,Failure,,B:,Failure,,2025-09-01 20:25,0,US,,,,,,,TRUE,
,,Man,27,No,,,B:,Success,,B:,Failure,,B:,Success,,B:,Success,,B:,Failure,,2025-09-01 20:31,0,SE,,,,,,,TRUE,
,,Non-binary,26,No,,,B:,Success,,A:,Success,,B:,Success,,A:,Success,,A:,Failure,,2025-09-01 22:23,0,GB,,,,,,,TRUE,
,,Man,27,No,,,A:,Success,,B:,Failure,,A:,Success,,A:,Failure,,A:,Failure,Hiii,2025-09-01 22:55,0,MX,,,,,,,TRUE,
,,Man,29,No,,,B:,I don't understand the plan or the objects in the scene,,,,,,,,,,,,,,2025-09-01 23:42,0,CA,,,,,,,FALSE,
,,Man,58,No,,,B:,Failure,,B:,Failure,,A:,Success,,A:,Success,,A:,Failure,How do we know if we got this right?,2025-09-01 23:44,0,CA,,,,,,,TRUE,
,,I don't want to answer this,25,Yes,,,,,,,,,,,,,,,,,,2025-09-01 23:46,0,CA,,,,,,,FALSE,
,,Woman,58,No,,,B:,Failure,,A:,Failure,,A:,Success,,A:,Success,,B:,Failure,Thank toi it was fun,2025-09-01 23:48,0,CA,,,,,,,TRUE,
,,Man,25,No,,,,,,,,,,,,,,,,,,2025-09-02 0:02,0,CA,,,,,,,FALSE,
,,Man,27,No,,,B:,Failure,,A:,Failure,,A:,Failure,,B:,Success,,B:,Failure,,2025-09-02 0:17,0,CA,,,,,,,TRUE,
,,Woman,22,No,,,B:,I don't know,,A:,Success,,A:,I don't know,,A:,Failure,,A:,Failure,,2025-09-02 0:28,0,NZ,,,,,,,TRUE,
,,Man,38,Yes,,,A:,Failure,,A:,Failure,,B:,Success,,B:,Success,,A:,Success,,2025-09-02 0:41,0,CA,,,,,,,TRUE,
,,Man,26,No,,,B:,Failure,,B:,Failure,,A:,Success,,A:,I don't know,,B:,Failure,,2025-09-02 0:47,0,CA,,,,,,,TRUE,
,,Non-binary,50,No,,,A:,Failure,,A:,Failure,,A:,Success,,B:,Failure,,A:,Failure,i hated looking at these images! thanks!,2025-09-02 0:49,0,CA,,,,,,,TRUE,
,,Man,27,No,,,B:,Failure,,A:,Success,,B:,Success,,A:,Success,,B:,Failure,"Some of the questions I found semantically confusing, I tried to answer as code agnostic as I could, but if the function to place an object on a table is the same as the function to place *inside* a refrigerator, I'd expect one of those to fail.",2025-09-02 1:07,0,US,,,,,,,TRUE,
,,Woman,26,No,,,,,,,,,,,,,,,,,,2025-09-02 1:26,0,CA,,,,,,,FALSE,
,,Man,22,Yes,,,A:,Failure,,B:,Failure,,B:,Success,,B:,Failure,,B:,Failure,,2025-09-02 1:32,0,CA,,,,,,,TRUE,
,,Man,28,Yes,,,A:,Failure,,B:,Failure,,A:,Success,,A:,Success,,B:,Failure,,2025-09-02 2:05,0,CA,,,,,,,TRUE,
,,Man,21,No,,,A:,Success,,B:,Failure,,A:,Success,,B:,I don't know,,B:,Failure,i don't understand why the robot can't pick up the traffic cone? that's all,2025-09-02 2:17,0,US,,,,,,,TRUE,
,,Man,29,No,,,B:,Failure,,A:,Success,,A:,Success,,A:,I don't know,,B:,Failure,,2025-09-02 3:22,0,US,,,,,,,TRUE,
,,Woman,37,Yes,,,,,,,,,,,,,,,,,,2025-09-02 3:59,0,CA,,,,,,,FALSE,
,,Non-binary,25,No,,,A:,Failure,,B:,Failure,,B:,Success,,A:,Failure,,A:,Failure,,2025-09-02 4:16,0,TW,,,,,,,TRUE,
,,Woman,29,No,,,A:,Failure,,A:,Failure,,B:,Success,,A:,Success,,A:,Success,,2025-09-02 5:27,0,AT,,,,,,,TRUE,
,,I don't want to answer this,24,Yes,,,,,,,,,,,,,,,,,,2025-09-02 7:11,0,CA,,,,,,,FALSE,
,,Man,22,No,,,B:,I don't understand the plan or the objects in the scene,,,,,,,,,,,,,,2025-09-02 10:33,0,CA,,,,,,,FALSE,
,,Woman,24,No,,,,,,,,,,,,,,,,,,2025-09-02 10:40,0,SE,,,,,,,FALSE,
,,Man,23,Yes,,,B:,Failure,,A:,Failure,,A:,Success,,A:,Success,,A:,Failure,"The video for the first scene shows the plan being executed. But for the other scenes, the video just shows/pans across the scene. This is slightly confusing as I expected to see a plan in those videos as well. In the fifth scene, the second step in the plan in the text is OpenObj, but in the img on the right, the second step says GoToObj - this is also a bit confusing. I don't think my response changes with either so it's fine, but just thought I'd let you know.",2025-09-02 12:30,0,IN,,,,,,,TRUE,
,,Woman,25,No,,,B:,Failure,,A:,Failure,,A:,Failure,,A:,Success,,A:,Failure,,2025-09-02 13:01,0,CA,,,,,,,TRUE,
,,Non-binary,36,No,,,A:,Failure,,B:,Failure,,A:,Success,,A:,Success,,B:,Failure,,2025-09-02 13:11,0,DE,,,,,,,TRUE,
,,Woman,19,No,,,,,,,,,,,,,,,,,,2025-09-02 13:22,0,GB,,,,,,,FALSE,
,,Non-binary,25,No,,,,,,,,,,,,,,,,,,2025-09-02 14:33,0,CA,,,,,,,FALSE,
,,Non-binary,24,No,,,,,,,,,,,,,,,,,,2025-09-02 15:12,0,CA,,,,,,,FALSE,
,,Woman,26,No,,,B:,Success,,B:,Failure,,B:,Success,,A:,Success,,A:,Failure,,2025-09-02 16:31,0,CA,,,,,,,TRUE,
,,Woman,28,No,,,A:,Success,,B:,Failure,,,,,,,,,,,2025-09-02 16:40,0,CA,,,,,,,FALSE,
,,Man,26,No,,,,,,,,,,,,,,,,,,2025-09-02 16:50,0,CA,,,,,,,FALSE,
,,Man,26,No,,,,,,,,,,,,,,,,,,2025-09-02 16:59,0,CA,,,,,,,FALSE,
,,Man,27,No,,,B:,Success,,A:,Failure,,B:,Success,,A:,Success,,A:,Failure,,2025-09-02 19:20,0,US,,,,,,,TRUE,
,,Woman,19,No,,,A:,Failure,,B:,Failure,,B:,Success,,A:,Failure,,B:,Failure,,2025-09-02 19:23,0,CA,,,,,,,TRUE,
,,Non-binary,19,No,,,A:,Success,,B:,Failure,,A:,Success,,B:,I don't know,,A:,Failure,,2025-09-02 20:36,0,GB,,,,,,,TRUE,
,,Man,29,Yes,,,,,,,,,,,,,,,,,,2025-09-02 22:17,0,US,,,,,,,FALSE,
,,Man,31,Yes,,,B:,Success,,A:,Failure,,B:,Success,,B:,Failure,,A:,Failure,,2025-09-02 22:48,0,CA,,,,,,,TRUE,
,,Non-binary,28,No,,,A:,Success,,B:,Success,,A:,Failure,,B:,Failure,,B:,Failure,,2025-09-02 22:53,0,CA,,,,,,,TRUE,
,,Man,29,No,,,B:,Failure,,B:,Success,,A:,Success,,B:,Success,,A:,Success,,2025-09-03 1:09,0,CA,,,,,,,TRUE,
,,Woman,26,No,,,A:,Success,,,,,,,,,,,,,,2025-09-03 13:39,0,CA,,,,,,,FALSE,
,,Woman,21,Yes,,,B:,Success,,B:,Failure,,B:,Failure,,B:,Success,,A:,Failure,,2025-09-03 13:41,0,CA,,,,,,,TRUE,
,,Man,22,No,,,A:,Failure,,B:,Failure,,A:,Success,,B:,I don't understand the plan or the objects in the scene,,,,,2025-09-03 15:51,0,FR,,,,,,,TRUE,
,,Non-binary,35,Yes,,,B:,Failure,,B:,Failure,,A:,Success,,A:,Success,,B:,Failure,,2025-09-03 19:52,0,CA,,,,,,,TRUE,
,,Man,28,No,,,A:,Success,,B:,Failure,,,,,,,,,,,2025-09-03 19:54,0,US,,,,,,,FALSE,
,,Man,28,No,,,B:,Failure,,A:,Failure,,A:,Success,,B:,Success,,A:,Success,This + gpt 5 = agi,2025-09-03 19:56,0,CA,,,,,,,TRUE,
,,Man,26,No,,,,,,,,,,,,,,,,,,2025-09-03 19:57,0,GB,,,,,,,FALSE,
,,Man,27,No,,,A:,Failure,,B:,Success,,B:,Failure,,A:,Success,,B:,Success,,2025-09-03 19:55,0,CA,,,,,,,TRUE,
,,Man,42,No,,,,,,,,,,,,,,,,,,2025-09-03 19:58,0,CA,,,,,,,FALSE,
,,Woman,22,No,,,,,,,,,,,,,,,,,,2025-09-03 19:58,0,CA,,,,,,,FALSE,
,,Man,49,No,,,B:,Success,,A:,Failure,,B:,Success,,A:,Success,,A:,Failure,I'd like to know the real-world results!,2025-09-03 19:58,0,CA,,,,,,,TRUE,
,,Man,26,No,,,A:,Success,,A:,,,,,,,,,,,,2025-09-03 20:06,0,CA,,,,,,,FALSE,
,,Man,26,Yes,,,A:,Failure,,B:,Failure,,B:,Success,,A:,Success,,A:,Failure,,2025-09-03 20:05,0,CA,,,,,,,TRUE,
,,Man,27,Yes,,,B:,Failure,,B:,Failure,,A:,Success,,A:,Success,,B:,Failure,,2025-09-03 20:09,0,CA,,,,,,,TRUE,
,,Woman,26,No,,,,,,,,,,,,,,,,,,2025-09-03 20:21,0,XK,,,,,,,FALSE,
,,Non-binary,24,No,,,,,,,,,,,,,,,,,,2025-09-03 20:29,0,CA,,,,,,,FALSE,
,,Woman,28,No,,,A:,Failure,,B:,Success,,A:,Success,,A:,Failure,,B:,Success,,2025-09-03 20:55,0,CA,,,,,,,TRUE,
,,Man,29,No,,,B:,Success,,A:,Success,,A:,Success,,B:,Success,,B:,Failure,,2025-09-03 20:57,0,CA,,,,,,,TRUE,
,,Woman,26,No,,,B:,Success,,A:,Failure,,A:,Success,,B:,Success,,B:,Failure,,2025-09-03 21:37,0,CA,,,,,,,TRUE,
,,Woman,30,Yes,,,B:,Success,,B:,Failure,,A:,Success,,B:,Failure,,A:,Failure,,2025-09-03 21:39,0,CA,,,,,,,TRUE,
,,Man,25,Yes,,,A:,Failure,,B:,Failure,,B:,Success,,A:,I don't know,,A:,Failure,,2025-09-03 21:52,0,CA,,,,,,,TRUE,
,,Man,34,No,,,A:,Failure,,B:,Success,,B:,Failure,,A:,I don't understand the plan or the objects in the scene,,B:,I don't understand the plan or the objects in the scene,The video quality is very bad,2025-09-03 22:16,0,CA,,,,,,,TRUE,
,,Woman,26,Yes,,,A:,Failure,,B:,Failure,,B:,Success,,A:,Failure,,B:,Failure,,2025-09-03 22:17,0,CA,,,,,,,TRUE,
,,Woman,28,No,,,B:,I don't understand the plan or the objects in the scene,,B:,Success,,A:,Success,,A:,Success,,B:,Success,,2025-09-03 23:49,0,CA,,,,,,,TRUE,
,,I don't want to answer this,26,No,,,B:,Failure,,B:,Failure,,B:,Success,,A:,Failure,,A:,Failure,,2025-09-04 0:00,0,US,,,,,,,TRUE,
,,Man,23,No,,,B:,Failure,,A:,Failure,,B:,Success,,B:,I don't understand the plan or the objects in the scene,,A:,Success,,2025-09-04 0:26,0,CA,,,,,,,TRUE,
,,Woman,31,No,,,A:,Success,,A:,Failure,,A:,Success,,A:,I don't know,,B:,Failure,,2025-09-04 0:31,0,CA,,,,,,,TRUE,
,,Woman,28,Yes,,,B:,,,,,,,,,,,,,,,2025-09-04 2:19,0,CA,,,,,,,FALSE,
,,Woman,26,No,,,B:,Failure,,B:,Failure,,B:,Success,,B:,Failure,,B:,Failure,,2025-09-04 5:01,0,US,,,,,,,TRUE,
,,Woman,27,No,,,A:,Success,,B:,I don't know,,A:,I don't know,,B:,Success,,A:,Failure,,2025-09-04 5:23,0,SE,,,,,,,TRUE,
,,Woman,23,No,,,,,,,,,,,,,,,,,,2025-09-04 5:31,0,FR,,,,,,,FALSE,
,,Woman,25,No,,,A:,Success,,B:,Failure,,B:,Success,,B:,Success,,A:,Failure,,2025-09-04 5:53,0,FR,,,,,,,TRUE,
,,Man,27,Yes,,,,,,,,,,,,,,,,,,2025-09-04 6:00,0,ZA,,,,,,,FALSE,
,,Man,40,Yes,,,B:,Success,,B:,Failure,,A:,Success,,A:,Success,,A:,Failure,,2025-09-04 7:59,0,CH,,,,,,,TRUE,
,,Man,29,Yes,,,,,,,,,,,,,,,,,,2025-09-04 9:09,0,FR,,,,,,,FALSE,
,,Man,42,Yes,,,A:,,,,,,,,,,,,,,,2025-09-04 11:28,0,GB,,,,,,,FALSE,
,,Man,40,No,,,B:,Failure,,B:,Failure,,B:,Success,,A:,I don't know,,B:,I don't know,,2025-09-04 11:30,0,CA,,,,,,,FALSE,
,,Woman,35,No,,,,,,,,,,,,,,,,,,2025-09-04 11:49,0,CA,,,,,,,FALSE,
,,Man,40,No,,,A:,Failure,,B:,Failure,,A:,Success,,B:,I don't know,,B:,I don't know,"For the fourth scene, it depends on how effectively the robot can avoid the truck and how accurately it can place the cone on top of the dumpster.
For the fifth scene, it depends on how many arms the robot has and how accurately it can place the mug inside the fridge.",2025-09-04 11:58,0,CA,,,,,,,TRUE,
,,Woman,19,Yes,,,A:,Success,,B:,I don't know,,A:,Success,,B:,Success,,A:,Success,,2025-09-04 11:58,0,PT,,,,,,,TRUE,
,,Man,20,Yes,,,A:,Success,,A:,Failure,,B:,Failure,,B:,Failure,,A:,Failure,,2025-09-04 12:00,0,IN,,,,,,,TRUE,
,,Woman,31,Yes,,,A:,Success,,A:,Failure,,B:,Success,,A:,Success,,A:,Failure,,2025-09-04 12:03,0,DE,,,,,,,TRUE,
,,Man,32,Yes,,,A:,Failure,,A:,Failure,,A:,Success,,B:,I don't understand the plan or the objects in the scene,,A:,Failure,The 4th scene is a bit unclear: the video says that the cone is not of type Pickupable which led me to believe that the plan is not valid.,2025-09-04 12:04,0,US,,,,,,,TRUE,
,,Woman,27,No,,,B:,Success,,,,,,,,,,,,,,2025-09-04 12:07,0,CA,,,,,,,FALSE,
,,Man,28,Yes,,,B:,,,,,,,,,,,,,,,2025-09-04 12:14,0,IN,,,,,,,FALSE,
,,Woman,34,No,,,B:,Failure,,,,,,,,,,,,,,2025-09-04 12:38,0,CA,,,,,,,FALSE,
,,Man,30,Yes,,,,,,,,,,,,,,,,,,2025-09-04 12:37,0,CA,,,,,,,FALSE,
,,Man,26,No,,,,,,,,,,,,,,,,,,2025-09-04 12:42,0,GN,,,,,,,FALSE,
,,Man,33,Yes,,,B:,Failure,,B:,Failure,,A:,Success,,B:,Failure,,B:,Failure,,2025-09-04 12:58,0,CA,,,,,,,TRUE,
,,Man,22,Yes,,,B:,Failure,,A:,Success,,B:,,,,,,,,,2025-09-04 13:02,0,MY,,,,,,,FALSE,
,,Woman,28,No,,,,,,,,,,,,,,,,,,2025-09-04 13:02,0,CA,,,,,,,FALSE,
,,Man,27,Yes,,,B:,Failure,,B:,Failure,,B:,Success,,B:,Failure,,A:,I don't know,"Outcomes in the previous scenes help me choose the answer in the next scene, and outcomes from the next scene helped me correct the outcomes in the previous scene.",2025-09-04 13:15,0,CA,,,,,,,TRUE,
,,Man,29,Yes,,,A:,Failure,,B:,Failure,,B:,Success,,B:,Failure,,A:,Success,"To me the plan of the fourth scene was a success but I replied false as the video actually showed a failure and in the instructions of the question it was written ""based on the image and video"".",2025-09-04 13:22,0,CA,,,,,,,TRUE,
,,Man,40,Yes,,,,,,,,,,,,,,,,,,2025-09-04 13:27,0,TW,,,,,,,FALSE,
,,Man,22,No,,,B:,I don't know,,A:,I don't know,,,,,,,,,,,2025-09-04 13:34,0,CA,,,,,,,FALSE,
,,Man,25,Yes,,,B:,Success,,,,,,,,,,,,,,2025-09-04 13:37,0,IT,,,,,,,FALSE,
,,Man,25,Yes,,,B:,Failure,,,,,,,,,,,,,,2025-09-04 13:49,0,CA,,,,,,,FALSE,
,,Man,35,Yes,,,,,,,,,,,,,,,,,,2025-09-04 13:54,0,GB,,,,,,,FALSE,
,,Man,25,Yes,,,B:,Failure,,A:,Failure,,,,,,,,,,,2025-09-04 14:01,0,US,,,,,,,FALSE,
,,Woman,35,No,,,A:,Failure,,A:,Failure,,A:,Success,,B:,Success,,B:,Failure,,2025-09-04 14:13,0,CA,,,,,,,TRUE,
,,Man,34,Yes,,,A:,Success,,B:,Failure,,A:,I don't know,,A:,Success,,A:,Success,,2025-09-04 14:13,0,CA,,,,,,,TRUE,
,,Man,41,Yes,,,B:,Failure,,B:,Failure,,A:,Failure,,A:,Success,,B:,Failure,,2025-09-04 14:31,0,SE,,,,,,,TRUE,
,,Woman,32,Yes,,,B:,Failure,,,,,,,,,,,,,,2025-09-04 14:32,0,CH,,,,,,,FALSE,
,,Man,30,Yes,,,A:,Success,,,,,,,,,,,,,,2025-09-04 14:42,0,US,,,,,,,FALSE,
,,Man,66,Yes,,,B:,Success,,,,,,,,,,,,,,2025-09-04 15:04,0,DE,,,,,,,FALSE,
,,Man,26,Yes,,,B:,Failure,,B:,Failure,,B:,Failure,,B:,Success,,B:,Failure,,2025-09-04 15:16,0,ES,,,,,,,TRUE,
,,Man,25,Yes,,,B:,,,,,,,,,,,,,,,2025-09-04 15:25,0,DE,,,,,,,FALSE,
,,Man,32,Yes,,,A:,Failure,,A:,I don't know,,B:,Success,,A:,Success,,A:,Success,,2025-09-04 16:07,0,CA,,,,,,,TRUE,
,,Man,24,Yes,,,,,,,,,,,,,,,,,,2025-09-04 16:22,0,CA,,,,,,,FALSE,
,,Man,26,Yes,,,,,,,,,,,,,,,,,,2025-09-04 16:32,0,IN,,,,,,,FALSE,
,,Man,34,Yes,,,A:,Failure,,A:,Failure,,B:,Success,,A:,Success,,A:,Failure,"I think that the primitives the robot can execute are not clear, nor the level of granularity that each one encompasses. There are plans that could have been valid if the primitive itself was more complex (e.g., each time the robot picks something it puts it down, or if the robot pick something up, it must ensure that it's not holding something already or so)",2025-09-04 16:39,0,GB,,,,,,,TRUE,
,,Man,31,Yes,,,A:,Failure,,B:,Success,,,,,,,,,,,2025-09-04 16:43,0,US,,,,,,,FALSE,
,,Man,20,Yes,,,B:,Failure,,A:,Success,,A:,Failure,,A:,Success,,B:,Success,,2025-09-04 16:50,0,IN,,,,,,,TRUE,
,,Man,20,No,,,,,,,,,,,,,,,,,,2025-09-04 15:48,0,CA,,,,,,,FALSE,
,,Man,31,Yes,,,A:,I don't understand the plan or the objects in the scene,,,,,,,,,,,,,,2025-09-04 16:46,0,IN,,,,,,,FALSE,
,,Man,25,No,,,B:,,,,,,,,,,,,,,,2025-09-04 17:20,0,US,,,,,,,FALSE,
,,Man,22,Yes,,,,,,,,,,,,,,,,,,2025-09-04 17:21,0,IN,,,,,,,FALSE,
,,Man,26,Yes,,,A:,Failure,,B:,Failure,,B:,Success,,A:,Success,,B:,Failure,,2025-09-04 17:25,0,US,,,,,,,TRUE,
,,Man,24,Yes,,,,,,,,,,,,,,,,,,2025-09-04 17:48,0,CA,,,,,,,FALSE,
,,Man,40,Yes,,,,,,,,,,,,,,,,,,2025-09-04 18:07,0,IN,,,,,,,FALSE,
,,Woman,39,Yes,,,A:,,,,,,,,,,,,,,,2025-09-04 18:08,0,CA,,,,,,,FALSE,
,,Man,27,Yes,,,B:,Success,,A:,Failure,,B:,Success,,A:,Failure,,A:,Failure,,2025-09-04 18:59,0,US,,,,,,,TRUE,
,,Man,23,Yes,,,,,,,,,,,,,,,,,,2025-09-04 19:08,0,IN,,,,,,,FALSE,
,,Man,24,Yes,,,B:,,,,,,,,,,,,,,,2025-09-04 19:11,0,US,,,,,,,FALSE,
,,Woman,21,No,,,B:,Failure,,B:,Failure,,B:,Success,,A:,Success,,B:,Failure,,2025-09-04 19:24,0,CA,,,,,,,TRUE,
,,Man,46,Yes,,,B:,Success,,A:,Failure,,B:,Success,,A:,Success,,B:,Failure,Fun!!ðŸ¤©,2025-09-04 19:42,0,US,,,,,,,TRUE,
,,Man,28,Yes,,,B:,,,,,,,,,,,,,,,2025-09-04 19:57,0,CA,,,,,,,FALSE,
,,Woman,37,No,,,A:,Failure,,B:,Failure,,A:,Success,,A:,Failure,,A:,Failure,,2025-09-04 20:00,0,US,,,,,,,TRUE,
,,Man,28,No,,,,,,,,,,,,,,,,,,2025-09-04 20:02,0,GE,,,,,,,FALSE,
,,Man,31,Yes,,,A:,Success,,B:,Failure,,,,,,,,,,,2025-09-04 21:00,0,BR,,,,,,,FALSE,
,,Woman,26,Yes,,,,,,,,,,,,,,,,,,2025-09-04 22:04,0,KR,,,,,,,FALSE,
,,Man,22,No,,,,,,,,,,,,,,,,,,2025-09-04 22:50,0,CA,,,,,,,FALSE,
,,Man,22,Yes,,,B:,Failure,,,,,,,,,,,,,,2025-09-05 0:10,0,US,,,,,,,FALSE,
,,Man,24,Yes,,,A:,Success,,B:,Failure,,B:,Success,,B:,Failure,,A:,Failure,,2025-09-05 0:22,0,US,,,,,,,TRUE,
,,Man,16,No,,,B:,,,,,,,,,,,,,,,2025-09-05 0:51,0,US,,,,,,,FALSE,
,,Man,31,Yes,,,B:,Failure,,B:,Failure,,,,,,,,,,,2025-09-05 2:52,0,IN,,,,,,,FALSE,
,,Man,30,Yes,,,A:,Success,,B:,Success,,,,,,,,,,,2025-09-05 8:02,0,DE,,,,,,,FALSE,
,,Man,34,Yes,,,A:,Failure,,A:,Failure,,A:,Failure,,A:,Success,,A:,Failure,It was missing information about type of robots. Number of arms etc.,2025-09-05 9:20,0,NO,,,,,,,TRUE,
,,Man,25,Yes,,,A:,Failure,,B:,Failure,,A:,Success,,B:,Failure,,A:,Failure,,2025-09-05 10:31,0,GR,,,,,,,TRUE,
,,Man,23,Yes,,,B:,Success,,A:,Failure,,B:,Success,,B:,Success,,A:,Failure,"I feel I should explain why I choose failure in fifth scene. Because, from the initial description of the bot, I assumed it only has a single arm gripper. So gripping the mug and opening the fridge at the same time is not possible. And if I have nitpick, then we don't know about whether the fridge is empty or not. Both of these cases lead to failure",2025-09-05 14:33,0,IN,,,,,,,TRUE,
,,Man,26,Yes,,,B:,I don't understand the plan or the objects in the scene,,A:,Failure,,B:,Success,,A:,Failure,,B:,Success,,2025-09-05 17:35,0,CA,,,,,,,TRUE,
,,Man,26,Yes,,,B:,Success,,B:,Success,,A:,Success,,,,,,,,2025-09-05 17:54,0,US,,,,,,,FALSE,
,,Man,29,Yes,,,B:,,,,,,,,,,,,,,,2025-09-05 17:56,0,CH,,,,,,,FALSE,
,,Man,20,No,,,A:,Failure,,B:,Failure,,A:,Success,,,,,,,,2025-09-05 19:01,0,RO,,,,,,,FALSE,